id	location_0_coordinate	location_1_coordinate	city	state
10974	39.350799560546875	-83.38670349121094	GREENFIELD	OH
10975	35.85860061645508	-98.42179870605469	GREENFIELD	OK
10976	36.21369934082031	-88.78119659423828	GREENFIELD	TN
10977	43.18119812011719	-73.90630340576172	GREENFIELD CENTER	NY
10978	41.72760009765625	-74.5156021118164	GREENFIELD PARK	NY
10979	41.0171012878418	-80.80290222167969	GREENFORD	OH
10980	42.12049865722656	-79.30960083007812	GREENHURST	NY
10981	35.928199768066406	-94.15290069580078	GREENLAND	AR
10982	46.78089904785156	-89.1146011352539	GREENLAND	MI
10983	43.03860092163086	-70.80919647216797	GREENLAND	NH
10984	40.86690139770508	-73.36250305175781	GREENLAWN	NY
10985	43.68000030517578	-116.76200103759766	GREENLEAF	ID
10986	39.6879997253418	-96.97509765625	GREENLEAF	KS
10987	44.3474006652832	-88.0376968383789	GREENLEAF	WI
10988	40.43439865112305	-80.0248031616211	GREENOCK	PA
10989	47.013301849365234	-113.44400024414062	GREENOUGH	MT
10990	40.922298431396484	-72.63710021972656	GREENPORT	NY
10991	41.30889892578125	-73.36370086669922	GREENS FARMS	CT
10992	39.893798828125	-85.01380157470703	GREENS FORK	IN
10993	32.69990158081055	-87.58609771728516	GREENSBORO	AL
10994	30.56529998779297	-84.73600006103516	GREENSBORO	FL
10995	33.560699462890625	-83.19339752197266	GREENSBORO	GA
10996	39.87889862060547	-85.46399688720703	GREENSBORO	IN
10997	38.96860122680664	-75.79070281982422	GREENSBORO	MD
10998	36.07350158691406	-79.79019927978516	GREENSBORO	NC
10999	39.820899963378906	-79.97450256347656	GREENSBORO	PA
11000	44.60029983520508	-72.2865982055664	GREENSBORO	VT
11001	44.77560043334961	-72.22640228271484	GREENSBORO BEND	VT
11002	39.299800872802734	-85.4917984008789	GREENSBURG	IN
11003	37.60749816894531	-99.20500183105469	GREENSBURG	KS
11004	37.275901794433594	-85.51930236816406	GREENSBURG	KY
11005	30.657100677490234	-90.65149688720703	GREENSBURG	LA
11006	40.308101654052734	-79.54620361328125	GREENSBURG	PA
11007	40.270999908447266	-92.4384994506836	GREENTOP	MO
11008	40.48540115356445	-85.99729919433594	GREENTOWN	IN
11009	40.929500579833984	-81.40010070800781	GREENTOWN	OH
11010	41.320701599121094	-75.19940185546875	GREENTOWN	PA
11011	39.27399826049805	-88.12460327148438	GREENUP	IL
11012	38.61790084838867	-82.83940124511719	GREENUP	KY
11013	40.754798889160156	-73.60179901123047	GREENVALE	NY
11014	41.54029846191406	-122.93699645996094	GREENVIEW	CA
11015	40.10169982910156	-89.7468032836914	GREENVIEW	IL
11016	31.79669952392578	-86.59619903564453	GREENVILLE	AL
11017	40.12480163574219	-120.87899780273438	GREENVILLE	CA
11018	30.441099166870117	-83.51609802246094	GREENVILLE	FL
11019	33.04679870605469	-84.74019622802734	GREENVILLE	GA
11020	43.10770034790039	-95.14099884033203	GREENVILLE	IA
11021	38.8843994140625	-89.4229965209961	GREENVILLE	IL
11022	38.373199462890625	-85.98660278320312	GREENVILLE	IN
11023	37.200801849365234	-87.16439819335938	GREENVILLE	KY
11024	45.79240036010742	-69.30460357666016	GREENVILLE	ME
11025	43.282501220703125	-85.07769775390625	GREENVILLE	MI
11026	37.12689971923828	-90.45059967041016	GREENVILLE	MO
11027	33.385101318359375	-91.05329895019531	GREENVILLE	MS
11028	35.60599899291992	-77.37429809570312	GREENVILLE	NC
11029	42.875099182128906	-71.71749877929688	GREENVILLE	NH
11030	42.382598876953125	-73.95130157470703	GREENVILLE	NY
11031	40.15650177001953	-84.64910125732422	GREENVILLE	OH
11032	41.32659912109375	-80.28829956054688	GREENVILLE	PA
11033	41.87929916381836	-71.55169677734375	GREENVILLE	RI
11034	34.85499954223633	-82.39119720458984	GREENVILLE	SC
11035	33.1161994934082	-96.09980010986328	GREENVILLE	TX
11036	38.235599517822266	-112.78299713134766	GREENVILLE	UT
11037	37.9833984375	-79.17559814453125	GREENVILLE	VA
11038	44.2869987487793	-88.556396484375	GREENVILLE	WI
11039	37.551998138427734	-80.53970336914062	GREENVILLE	WV
11040	45.79240036010742	-69.30460357666016	GREENVILLE JUNCTION	ME
11041	45.59709930419922	-94.85150146484375	GREENWALD	MN
11042	36.32780075073242	-90.18250274658203	GREENWAY	AR
11043	38.964500427246094	-77.23310089111328	GREENWAY	VA
11044	30.574100494384766	-90.9635009765625	GREENWELL SPRINGS	LA
11045	41.028099060058594	-73.62940216064453	GREENWICH	CT
11046	37.78340148925781	-97.20539855957031	GREENWICH	KS
11047	39.40549850463867	-75.3208999633789	GREENWICH	NJ
11048	43.212799072265625	-73.4343032836914	GREENWICH	NY
11049	41.11940002441406	-82.56439971923828	GREENWICH	OH
11050	38.32889938354492	-112.14299774169922	GREENWICH	UT
11051	35.18119812011719	-94.20600128173828	GREENWOOD	AR
11052	38.909400939941406	-120.88899993896484	GREENWOOD	CA
11053	38.82460021972656	-75.58879852294922	GREENWOOD	DE
11054	30.85919952392578	-85.14759826660156	GREENWOOD	FL
11055	39.61360168457031	-86.11589813232422	GREENWOOD	IN
11056	32.43000030517578	-93.98909759521484	GREENWOOD	LA
11057	44.4015998840332	-70.70880126953125	GREENWOOD	ME
11058	38.86439895629883	-94.28150177001953	GREENWOOD	MO
11059	33.52170181274414	-90.19280242919922	GREENWOOD	MS
11060	40.905399322509766	-96.29019927978516	GREENWOOD	NE
11061	42.1431999206543	-77.56300354003906	GREENWOOD	NY
11062	34.187599182128906	-82.15950012207031	GREENWOOD	SC
11063	33.317901611328125	-97.6093978881836	GREENWOOD	TX
11064	38.078800201416016	-78.52200317382812	GREENWOOD	VA
11065	44.660400390625	-90.67559814453125	GREENWOOD	WI
11066	41.297298431396484	-74.26480102539062	GREENWOOD LAKE	NY
11067	33.940101623535156	-88.3207015991211	GREENWOOD SPRINGS	MS
11068	35.23749923706055	-109.52300262451172	GREER	AZ
11069	34.93709945678711	-82.24150085449219	GREER	SC
11070	35.179100036621094	-91.2593994140625	GREGORY	AR
11071	42.49599838256836	-84.08470153808594	GREGORY	MI
11072	43.213600158691406	-99.36219787597656	GREGORY	SD
11073	27.94540023803711	-97.24590301513672	GREGORY	TX
11074	43.81869888305664	-75.48030090332031	GREIG	NY
11075	41.34109878540039	-84.00050354003906	GRELTON	OH
11076	41.634700775146484	-122.47000122070312	GRENADA	CA
11077	33.78379821777344	-89.80989837646484	GRENADA	MS
11078	39.77880096435547	-75.06009674072266	GRENLOCH	NJ
11079	37.406898498535156	-96.3843994140625	GRENOLA	KS
11080	48.52519989013672	-103.91799926757812	GRENORA	ND
11081	36.36980056762695	-103.50599670410156	GRENVILLE	NM
11082	45.36989974975586	-97.60399627685547	GRENVILLE	SD
11083	41.010398864746094	-97.42549896240234	GRESHAM	NE
11084	45.49789810180664	-122.43099975585938	GRESHAM	OR
11085	33.95240020751953	-79.36039733886719	GRESHAM	SC
11086	44.80609893798828	-88.73280334472656	GRESHAM	WI
11087	37.45759963989258	-82.66449737548828	GRETHEL	KY
11088	30.58919906616211	-84.56490325927734	GRETNA	FL
11089	29.9143009185791	-90.04900360107422	GRETNA	LA
11090	41.098899841308594	-96.23970031738281	GRETNA	NE
11091	36.983001708984375	-79.32109832763672	GRETNA	VA
11092	45.82780075073242	-94.77760314941406	GREY EAGLE	MN
11093	44.47740173339844	-108.13099670410156	GREYBULL	WY
11094	45.6963005065918	-109.8550033569336	GREYCLIFF	MT
11095	39.355499267578125	-121.7249984741211	GRIDLEY	CA
11096	40.74480056762695	-88.88140106201172	GRIDLEY	IL
11097	38.105499267578125	-95.79450225830078	GRIDLEY	KS
11098	33.242801666259766	-84.27490234375	GRIFFIN	GA
11099	38.191001892089844	-87.91699981689453	GRIFFIN	IN
11100	41.522098541259766	-87.39029693603516	GRIFFITH	IN
11101	38.24620056152344	-81.96070098876953	GRIFFITHSVILLE	WV
11102	35.11320114135742	-91.6061019897461	GRIFFITHVILLE	AR
11103	35.44060134887695	-77.39949798583984	GRIFTON	NC
11104	39.741600036621094	-90.74939727783203	GRIGGSVILLE	IL
11105	39.06589889526367	-121.90799713134766	GRIMES	CA
11106	41.652099609375	-93.60050201416016	GRIMES	IA
11107	35.50630187988281	-77.214599609375	GRIMESLAND	NC
11108	38.75230026245117	-81.99729919433594	GRIMMS LANDING	WV
11109	36.25979995727539	-85.00150299072266	GRIMSLEY	TN
11110	37.410301208496094	-76.29409790039062	GRIMSTEAD	VA
11111	40.015499114990234	-79.84400177001953	GRINDSTONE	PA
11112	41.73889923095703	-92.7240982055664	GRINNELL	IA
11113	39.12590026855469	-100.63200378417969	GRINNELL	KS
11114	40.78099822998047	-86.01640319824219	GRISSOM ARB	IN
11115	41.23619842529297	-95.04119873046875	GRISWOLD	IA
11116	38.63759994506836	-120.5530014038086	GRIZZLY FLATS	CA
11117	31.473800659179688	-96.54309844970703	GROESBECK	TX
11118	35.27669906616211	-101.23200225830078	GROOM	TX
11119	42.13520050048828	-83.15609741210938	GROSSE ILE	MI
11120	42.39139938354492	-82.9124984741211	GROSSE POINTE	MI
11121	30.37150001525879	-91.4126968383789	GROSSE TETE	LA
11122	41.971099853515625	-71.8917007446289	GROSVENOR DALE	CT
11123	41.34349822998047	-72.06880187988281	GROTON	CT
11124	42.60960006713867	-71.5730972290039	GROTON	MA
11125	42.57929992675781	-76.3927001953125	GROTON	NY
11126	45.5890007019043	-98.24559783935547	GROTON	SD
11127	44.28150177001953	-72.20760345458984	GROTON	VT
11128	38.272499084472656	-78.80580139160156	GROTTOES	VA
11129	41.5005989074707	-112.95800018310547	GROUSE CREEK	UT
11130	36.597999572753906	-94.78489685058594	GROVE	OK
11131	45.14690017700195	-94.67410278320312	GROVE CITY	MN
11132	39.96900177001953	-83.01139831542969	GROVE CITY	OH
11133	41.170799255371094	-80.089599609375	GROVE CITY	PA
11134	31.704999923706055	-87.80130004882812	GROVE HILL	AL
